연번,운영방식,도로명주소,지번주소,위치 ,위도,경도,Integrated,Used battery
153,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 101동,37.47923845,126.90904,1,0
154,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 113동,37.47923845,126.90904,1,0
155,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 123동,37.47923845,126.90904,1,0
157,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 104동,37.47923845,126.90904,1,0
158,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 114동,37.47923845,126.90904,1,0
159,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 116동,37.47923845,126.90904,1,0
160,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 118동,37.47923845,126.90904,1,0
161,Integrated,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 119동,37.47923845,126.90904,1,0
162,Integrated,서울특별시 관악구 난곡로 167,서울특별시 관악구 신림동 1727,임광아파트 103동,37.46937129,126.9186488,1,0
163,Integrated,서울특별시 관악구 난곡로30길 40,서울특별시 관악구 신림동 633-56,난곡동주민센터,37.47102189,126.9216418,1,0
164,Integrated,,서울특별시 관악구 신림동 645-1,무궁화놀이터,37.46963167,126.9235717,1,0
165,Integrated,,서울특별시 관악구 신림동 610-298,보명어린이 공원,37.47550388,126.9256637,1,0
166,Integrated,서울특별시 관악구 난곡로26나길 37,서울특별시 관악구 신림동 646-204,길 건너편 주차장,37.46840263,126.9234016,1,0
167,Used battery,서울특별시 관악구 난곡로30길 40,서울특별시 관악구 신림동 633-56,난곡동주민센터,37.47102189,126.9216418,0,1
168,Integrated,서울특별시 관악구 난향길 9,서울특별시 관악구 신림동 672,난향초등학교 후문,37.46282189,126.9183368,1,0
169,Integrated,서울특별시 관악구 난곡로 67,서울특별시 관악구 신림동 1735-5,난향동주민센터,37.46151944,126.9187965,1,0
170,Integrated,서울특별시 관악구 난향길 41,서울특별시 관악구 신림동 673-84,국화빌라 앞,37.46278832,126.9169615,1,0
171,Integrated,서울특별시 관악구 난곡로 101,서울특별시 관악구 신림동 681-2,보성운수 옆,37.46469757,126.9189175,1,0
172,Used battery,서울특별시 관악구 난향길 41,서울특별시 관악구 신림동 673-84,국화빌라 앞,37.46278832,126.9169615,0,1
173,Used battery,서울특별시 관악구 난곡로 67,서울특별시 관악구 신림동 1735-5,난향동주민센터,37.46151944,126.9187965,0,1
174,Integrated,서울특별시 관악구 신림로 282,서울특별시 관악구 신림동 1641-65,서원동주민센터,37.47976918,126.9313747,1,0
175,Integrated,서울특별시 관악구 신원로3길 13,서울특별시 관악구 신림동 1601-3,신원동주민센터,37.48161061,126.9273799,1,0
176,Integrated,서울특별시 관악구 문성로32길 18,서울특별시 관악구 신림동 1630-30,신일경로당,37.47851042,126.9287077,1,0
177,Integrated,서울특별시 관악구 남부순환로170길 6,서울특별시 관악구 신림동 1581-6,신원동경로당 옆,37.48272779,126.9243945,1,0
178,Used battery,서울특별시 관악구 신원로3길 13,서울특별시 관악구 신림동 1601-3,신원동주민센터,37.48161061,126.9273799,0,1
179,Integrated,,서울특별시 관악구 신림동 98-402,서광어린이공원 앞,37.47521256,126.9427449,1,0
180,Integrated,서울특별시 관악구 신림로28길 57,서울특별시 관악구 신림동 120-58,신성초등학교 북서측 외벽,37.47219611,126.936558,1,0
181,Integrated,서울특별시 관악구 신림로29길 6,서울특별시 관악구 신림동 1694-7,서림동주민센터,37.47499588,126.9349996,1,0
182,Integrated,서울특별시 관악구 신림로29길 8,서울특별시 관악구 신림동 1694,신림현대아파트 104동 분리수거장,37.4755685,126.9328111,1,0
183,Integrated,서울특별시 관악구 신림로29길 8,서울특별시 관악구 신림동 1694,신림현대아파트 110동 분리수거장,37.4755685,126.9328111,1,0
184,Integrated,서울특별시 관악구 서림3길 47,서울특별시 관악구 신림동 103-141,서림경로당 앞,37.47232257,126.9406237,1,0
185,Integrated,서울특별시 관악구 복은길 76,서울특별시 관악구 신림동 98-319,제일성도교회 앞,37.47430406,126.940243,1,0
186,Integrated,서울특별시 관악구 신림로8길 32,서울특별시 관악구 신림동 128-12,신림로8길 32 건너편,37.4714476,126.9390466,1,0
187,Used battery,서울특별시 관악구 신림로29길 8,서울특별시 관악구 신림동 1694,신림현대아파트 관리사무소,37.4755685,126.9328111,0,1
